,0
2024-09-04,100000.0
2024-09-05,100985.83843820289
2024-09-06,97572.68559686116
2024-09-09,99203.41019045605
2024-09-10,99364.72314652345
2024-09-11,101305.68307816355
2024-09-12,101628.26464290763
2024-09-13,101939.8528205745
2024-09-16,102422.99405283327
2024-09-17,104183.62759148059
2024-09-18,102711.99992348196
2024-09-19,103944.7107200433
2024-09-20,103822.81629009114
2024-09-23,105330.28309579278
2024-09-24,104639.97904374634
2024-09-25,104005.80007418427
2024-09-26,106302.46813796811
2024-09-27,105816.1024127203
2024-09-30,106057.43404224876
2024-10-01,105942.48043172597
2024-10-02,106414.50626339612
2024-10-03,104945.77995082107
2024-10-04,106083.71805565771
2024-10-07,104876.19364257024
2024-10-08,104886.36199554545
2024-10-09,104913.40643048398
2024-10-10,104864.12837526161
2024-10-11,105545.1496117178
2024-10-14,106879.42326510057
2024-10-15,107060.60898596665
2024-10-16,107483.74014938885
2024-10-17,107665.11036555942
2024-10-18,107792.9555836013
2024-10-21,107272.71373140748
2024-10-22,107028.03367367356
2024-10-23,106828.15613305832
2024-10-24,106389.01361668551
2024-10-25,105981.36230507387
2024-10-28,106759.57574390233
2024-10-29,106794.97127344456
2024-10-30,106255.0158091287
2024-10-31,105132.46831418826
2024-11-01,105403.54218508258
2024-11-04,105865.32051880102
2024-11-05,107522.12975508493
2024-11-06,108642.54803682234
2024-11-07,108662.88750389141
2024-11-08,108397.83931008767
2024-11-11,109472.95359184034
2024-11-12,108003.36164517529
2024-11-13,107855.78881090332
2024-11-14,107851.1235030551
2024-11-15,107007.12901762922
2024-11-18,107967.11272521388
2024-11-19,108819.7595206091
2024-11-20,108983.79018206472
2024-11-21,109511.53019308788
2024-11-22,110620.57432471927
2024-11-25,112316.22475888024
2024-11-26,112421.45845049148
2024-11-27,112987.18749569154
2024-11-29,113210.99103364152
2024-12-02,113850.7372184092
2024-12-03,113303.77162937197
2024-12-04,113068.71905079906
2024-12-05,111265.98180386797
2024-12-06,111089.25149231464
2024-12-09,111431.60992541436
2024-12-10,110221.39720654314
2024-12-11,110626.36870302234
2024-12-12,110378.09351626982
2024-12-13,111849.63151359165
2024-12-16,109487.84646888131
2024-12-17,109309.2955437206
2024-12-18,105212.10237683074
2024-12-19,104601.99077873523
2024-12-20,105502.44394077934
2024-12-23,106743.3293908422
2024-12-24,107342.39373539072
2024-12-26,107278.29505428224
2024-12-27,106789.80860155456
2024-12-30,105731.22957236669
2024-12-31,105725.21017210545
2025-01-02,105109.53763953313
2025-01-03,106137.1288276952
2025-01-06,106226.56260370543
2025-01-07,105091.22816963955
2025-01-08,105410.04050606604
2025-01-10,104112.02746743802
2025-01-13,104583.69700480084
2025-01-14,105805.55758591823
2025-01-15,106966.4227215358
2025-01-16,107004.19108936755
2025-01-17,107771.07774006929
2025-01-21,108661.20054848993
2025-01-22,108147.35241056635
2025-01-23,108239.61353343625
2025-01-24,107813.55408174652
2025-01-27,108271.40085157755
2025-01-28,109073.7088681163
2025-01-29,108752.41747537705
2025-01-30,110443.3412218223
2025-01-31,108523.42168007526
2025-02-03,107426.564948955
2025-02-04,107978.59241644091
2025-02-05,108620.93847625649
2025-02-06,108915.3714601783
2025-02-07,107781.30438582822
2025-02-10,107884.07762870312
2025-02-11,107625.1448374354
2025-02-12,107313.45335285473
2025-02-13,108588.71850035862
2025-02-14,108255.59611544502
2025-02-18,108394.07915410641
2025-02-19,109674.9835597707
2025-02-20,108816.92185728415
2025-02-21,106803.13508004235
2025-02-24,106565.2008219303
2025-02-25,106314.52144804393
2025-02-26,106598.94382479554
2025-02-27,106023.27742919303
2025-02-28,107045.08951190425
2025-03-03,104079.69162447877
2025-03-04,102217.86769625566
2025-03-05,103625.29017224099
2025-03-06,103372.8713922801
2025-03-07,104118.05476130433
2025-03-10,102909.71616007994
2025-03-11,102030.83954679703
2025-03-12,101082.36989457754
2025-03-13,99697.60466031657
2025-03-14,101589.98607793402
2025-03-17,103986.05767459328
2025-03-18,102780.24131168822
2025-03-19,103887.71809586343
2025-03-20,103756.96448991178
2025-03-21,103728.41059654167
2025-03-24,105499.96192387385
2025-03-25,104480.43604082825
2025-03-26,104527.72308442944
2025-03-27,104071.50540938965
2025-03-28,102441.88942229193
2025-03-31,103007.49845327967
2025-04-01,103682.32254030892
2025-04-02,104876.71686599757
2025-04-03,98478.4359534311
2025-04-04,93596.84661080994
2025-04-07,90162.35652923101
2025-04-08,87850.8435012086
2025-04-09,92041.58553544701
2025-04-10,90659.43804625848
2025-04-11,91807.90615352687
2025-04-14,93150.90085825634
2025-04-15,92125.55603278638
2025-04-16,91130.37511740474
2025-04-17,91896.48747186182
2025-04-21,89891.66860989168
2025-04-22,92141.36283668058
2025-04-23,92759.96731740293
2025-04-24,93733.86297510045
2025-04-25,93509.68089100071
2025-04-28,94453.30063809706
2025-04-29,94367.63378680503
2025-04-30,95195.89455658013
2025-05-01,95235.37374226385
2025-05-02,96859.54432898609
2025-05-05,96716.98930583206
2025-05-06,96147.69647840974
2025-05-07,96853.17617527669
2025-05-08,97936.0472114618
2025-05-09,97681.33105179117
2025-05-12,99194.16626379707
2025-05-13,99243.30031738975
