bucket,n_gaps,end_to_end_hit_rate_%,avg_profit_%_per_successful_trade
1-2%,74925,94.0,1.393
2-3%,18850,91.5,2.467
3-5%,10612,87.5,3.885
5-10%,5038,80.8,7.175
10%+,1119,67.6,15.846
