bucket,stop_%,n_trades,avg_win_%,std_%,win_rate_%,avg/std (consistency),max_drawdown_%,total_return_%,final_equity
1-2%,8.0,11989,-0.252,3.556,82.6,-0.071,-82.66,-80.23,19774.74
2-3%,11.0,6318,0.147,5.053,82.4,0.029,-32.81,39.61,139611.42
3-5%,15.0,3667,0.553,7.019,80.7,0.079,-31.2,136.2,236196.47
5-10%,24.0,1710,1.304,10.461,74.7,0.125,-33.0,161.7,261696.08
10%+,35.0,618,3.829,16.536,67.0,0.232,-27.95,196.29,296288.75
