slots,n_trades,win_pct,return_pct,maxdd_pct,ret_over_maxdd,capital_per_slot_at_start,mean_pnl_per_trade_usd,mean_pnl_per_trade_pct,avg_pct_equity_invested,max_open_at_once,sessions_touches_gt_free
5,164,67.1,180.05,-25.09,7.17,20000,1094.0,3.47,60.6,5,1734
10,381,68.8,201.87,-25.41,7.95,10000,552.0,3.22,63.7,10,1245
15,586,70.0,192.66,-24.39,7.9,6667,339.0,2.98,62.5,15,852
20,821,71.1,177.81,-25.96,6.85,5000,223.0,2.71,60.8,20,604
30,1339,73.5,166.66,-23.53,7.08,3333,127.0,2.36,58.9,28,324
40,1913,74.6,127.32,-26.27,4.85,2500,69.0,1.88,56.6,35,180
50,2570,75.9,113.73,-24.76,4.59,2000,46.0,1.63,54.6,45,111
