arm,n_trades,win_rate_%,total_return_%,max_drawdown_%,ret_per_maxdd,final_equity_$,n_stop,n_tp,n_time_exit
horizon_A_20_25_40_63,630,76.7,72.05,-21.47,3.355,172048.98,51,457,122
horizon_B_30_35_50_63,538,78.6,74.8,-16.7,4.48,174802.91,45,388,105
