proximity,n,pct_of_trades,win_%,avg_pnl_%,median_pnl_%,sum_pnl_$,pct_of_total_pnl_$,stop_%,tp_%,time_%,avg_days_held,gap_2-3%_%,gap_3-5%_%,gap_5-10%_%,gap_10%+_%,dominant_gap_bucket
0-1d,1017,36.5,78.2,2.24,4.35,678178.0,48.1,6.7,72.4,20.9,26.4,8.6,30.4,45.4,15.6,5-10%
2-3d,40,1.4,90.0,2.27,3.02,8302.0,0.6,7.5,87.5,5.0,10.3,37.5,40.0,17.5,5.0,3-5%
4-10d,197,7.1,83.2,1.69,3.08,97372.0,6.9,11.2,81.2,7.6,11.5,32.5,42.6,19.3,5.6,3-5%
far,1376,49.3,86.4,1.93,3.13,516367.0,36.6,10.0,84.2,5.9,12.2,34.0,39.5,21.4,5.2,3-5%
no calendar,160,5.7,81.2,2.43,3.68,110947.0,7.9,8.1,79.4,12.5,17.9,17.5,40.0,28.7,13.8,3-5%
