ticker,bucket,target_dte,width_frac,gap_pct,entry_date,exit_date,exit_reason,expiration,actual_dte,long_strike,short_strike,width_dollars,entry_cost,exit_value,pnl,roc_pct,pnl_pct_of_notional,max_value_reached,bs_fallback_any,itm_short_any,expiry_forced_exit,oi_known_both_legs,zero_volume_either_leg,width_floored,long_volume,short_volume,long_oi,short_oi,long_spread_pct,short_spread_pct
AAPL,2-3%,45,0.5,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-01,45.0,215.0,220.0,5.0,3.3499999999999996,2.6500000000000004,-0.6999999999999993,-20.895522388059682,-0.32294302593001795,2.9000000000000004,False,True,False,True,False,False,109.0,125.0,401.0,278.0,4.081632653061227,7.246376811594203
AAPL,2-3%,45,0.75,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-01,45.0,215.0,220.0,5.0,3.3499999999999996,2.6500000000000004,-0.6999999999999993,-20.895522388059682,-0.32294302593001795,2.9000000000000004,False,True,False,True,False,False,109.0,125.0,401.0,278.0,4.081632653061227,7.246376811594203
AAPL,2-3%,45,1.0,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-01,45.0,215.0,225.0,10.0,5.3,5.8,0.5,9.433962264150944,0.23067358995001305,5.8,False,False,False,True,False,False,109.0,116.0,401.0,166.0,4.081632653061227,3.1413612565444913
AAPL,2-3%,45,1.25,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-01,45.0,215.0,225.0,10.0,5.3,5.8,0.5,9.433962264150944,0.23067358995001305,5.8,False,False,False,True,False,False,109.0,116.0,401.0,166.0,4.081632653061227,3.1413612565444913
AAPL,2-3%,60,0.5,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-15,59.0,215.0,220.0,5.0,2.8000000000000007,2.875,0.07499999999999929,2.6785714285714026,0.03460103849250163,2.875,False,True,False,True,False,False,993.0,1008.0,6696.0,17110.0,0.9009009009008976,1.1904761904761865
AAPL,2-3%,60,0.75,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-15,59.0,215.0,220.0,5.0,2.8000000000000007,2.875,0.07499999999999929,2.6785714285714026,0.03460103849250163,2.875,False,True,False,True,False,False,993.0,1008.0,6696.0,17110.0,0.9009009009008976,1.1904761904761865
AAPL,2-3%,60,1.0,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-15,59.0,215.0,225.0,10.0,5.1000000000000005,5.5249999999999995,0.42499999999999893,8.33333333333331,0.1960725514575106,5.5249999999999995,False,False,False,True,False,False,993.0,1317.0,6696.0,25370.0,0.9009009009008976,2.4489795918367405
AAPL,2-3%,60,1.25,-2.679,2024-09-17,2024-09-18,tp_gap_filled,2024-11-15,59.0,215.0,225.0,10.0,5.1000000000000005,5.5249999999999995,0.42499999999999893,8.33333333333331,0.1960725514575106,5.5249999999999995,False,False,False,True,False,False,993.0,1317.0,6696.0,25370.0,0.9009009009008976,2.4489795918367405
ABBV,10%+,7,0.5,-10.491,2024-11-22,2025-02-20,tp_gap_filled,2024-11-29,7.0,177.5,187.5,10.0,1.58,5.5800000000000125,4.000000000000012,253.1645569620261,2.237779764428931,5.69,False,False,True,True,False,False,759.0,82.0,175.0,20.0,16.94915254237288,120.0
ABBV,10%+,14,0.5,-10.491,2024-11-22,2025-02-20,tp_gap_filled,2024-12-06,14.0,177.5,187.5,10.0,2.4400000000000004,0.0,-2.4400000000000004,-100.0,-1.365045656301644,5.425000000000001,False,False,True,True,False,False,104.0,12.0,42.0,0.0,15.26104417670684,40.0
