bucket,n_gaps,reentered_%,never_reentered_%,median_days_to_reentry,same_next_day_%
1-2%,74925,97.2,2.8,1.0,77.2
2-3%,18850,96.5,3.5,1.0,75.7
3-5%,10612,95.7,4.3,1.0,74.2
5-10%,5038,96.0,4.0,1.0,78.0
10%+,1119,95.9,4.1,1.0,77.2
