,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99908.64948691793
2016-09-09,99866.698463067
2016-09-12,99991.59503394803
2016-09-13,99887.53100337465
2016-09-14,99645.02868251696
2016-09-15,100142.18858981997
2016-09-16,100107.47060082457
2016-09-19,100606.01969692996
2016-09-20,100437.9741926338
2016-09-21,100908.0645308054
2016-09-22,101122.63370158582
2016-09-23,100986.7030294739
2016-09-26,101040.90823517658
2016-09-27,101541.2834764159
2016-09-28,101352.56442810528
2016-09-29,101051.97326090312
2016-09-30,101421.26549855256
2016-10-03,101410.74940913686
2016-10-04,101267.02457634866
2016-10-05,101208.89791994644
2016-10-06,101507.00049683361
2016-10-07,101052.91060400291
2016-10-10,101272.29820218834
2016-10-11,100570.7400591733
2016-10-12,100789.01502594573
2016-10-13,101101.17815271071
2016-10-14,101387.28526253901
2016-10-17,100781.73222143223
2016-10-18,101337.80726759926
2016-10-19,101980.06632972481
2016-10-20,101514.39525809
2016-10-21,100970.17377280442
2016-10-24,101426.56183730121
2016-10-25,101050.22159690496
2016-10-26,101195.58618919978
2016-10-27,101138.90564321233
2016-10-28,101762.49749022126
2016-10-31,101330.2098761169
2016-11-01,101175.96212052715
2016-11-02,101055.29384823346
2016-11-03,100830.58959981703
2016-11-04,100766.576560702
2016-11-07,103010.65121938317
2016-11-08,103338.26960839826
2016-11-09,105227.83860138136
2016-11-10,105371.44423078067
2016-11-11,106025.7519821761
2016-11-14,106252.17362990914
2016-11-15,106543.59474655456
2016-11-16,106671.07225521607
2016-11-17,107167.73850184542
2016-11-18,107297.0413855387
2016-11-21,107212.98332156081
2016-11-22,107811.81350363698
2016-11-23,107678.97820290882
2016-11-25,108177.17193006726
2016-11-28,107786.65246404293
2016-11-29,108217.17981660714
2016-11-30,107391.01021009916
2016-12-01,105411.85508287634
2016-12-02,105696.62795995735
2016-12-05,107239.8785799488
2016-12-06,108014.54516406401
2016-12-07,109206.13983700838
2016-12-08,110501.16345974724
2016-12-09,111079.70597177232
2016-12-12,111137.49561546349
2016-12-13,111726.51800579742
2016-12-14,110791.56196447238
2016-12-15,111290.09439694014
2016-12-16,111518.97955521356
2016-12-19,111906.1483803661
2016-12-20,112313.25175570913
2016-12-21,112030.91956608534
2016-12-22,111646.07060561722
2016-12-23,111763.25949592792
2016-12-27,112140.72244796423
2016-12-28,111374.60169432663
2016-12-29,111697.99626572504
2016-12-30,111090.41392095317
2017-01-03,111735.8349254711
2017-01-04,112833.14807564543
2017-01-05,113030.36315517343
2017-01-06,113643.465294183
2017-01-09,113572.48880355326
2017-01-10,113746.30249818396
2017-01-11,113741.23854573532
2017-01-12,113473.80180774581
2017-01-13,113975.98746542117
2017-01-17,114253.27368882373
2017-01-18,114480.07891805984
2017-01-19,114743.01805473292
2017-01-20,114264.34734758099
2017-01-23,114278.56045765922
2017-01-24,115209.94979870525
2017-01-25,115805.05985708036
2017-01-26,115719.15001953824
2017-01-27,115569.99143467011
2017-01-30,115186.39424257
2017-01-31,115785.73322803737
2017-02-01,116141.82842764207
2017-02-02,115849.77866418869
2017-02-03,116379.70442372831
2017-02-06,116063.64458193602
2017-02-07,116615.49759485788
2017-02-08,117324.25886659208
2017-02-09,117983.20357660568
2017-02-10,118388.57139759947
2017-02-13,119072.45747075048
2017-02-14,119621.14574421574
2017-02-15,120241.67192038344
2017-02-16,120382.89756661384
2017-02-17,121220.35661692475
2017-02-21,122380.2998862795
2017-02-22,122122.53735985392
2017-02-23,122526.86300522476
2017-02-24,123151.25365419032
2017-02-27,123547.35850237118
2017-02-28,122886.51581830793
2017-03-01,124398.41269280243
2017-03-02,124009.5906493385
2017-03-03,124163.09196293484
2017-03-06,123159.44870260422
2017-03-07,122613.92286127673
2017-03-08,122457.50897401087
2017-03-09,122419.07809585825
2017-03-10,122915.77761544667
2017-03-13,123072.64305776151
2017-03-14,122503.57399811706
2017-03-15,123679.09793947115
2017-03-16,124026.92331162965
2017-03-17,123627.19041051768
2017-03-20,123641.35882737853
2017-03-21,122165.38656335424
2017-03-22,122250.63354698186
2017-03-23,122403.18159483389
2017-03-24,122640.30395853306
2017-03-27,122787.40582493154
2017-03-28,124409.61713350104
2017-03-29,124350.92675714812
2017-03-30,124354.8690891019
2017-03-31,124298.584551607
2017-04-03,123755.07194557339
2017-04-04,123315.97799363072
2017-04-05,122775.46889743154
2017-04-06,123044.3112708821
2017-04-07,123387.75025589528
2017-04-10,123387.5237257576
2017-04-11,123174.17965654339
2017-04-12,122864.88725731059
2017-04-13,122261.97649502745
2017-04-17,123308.9853806097
2017-04-18,123336.99185974877
2017-04-19,123414.67559102121
2017-04-20,124504.17410155125
2017-04-21,124023.47481719819
2017-04-24,124832.75896853735
2017-04-25,125227.08881853157
2017-04-26,125320.50889473782
2017-04-27,125653.35366502976
2017-04-28,125167.36697302008
2017-05-01,125016.9945058206
2017-05-02,125414.26967856278
2017-05-03,124913.43201728202
2017-05-04,124772.03319685244
2017-05-05,125307.61871576805
2017-05-08,124489.59835122203
2017-05-09,124714.37842310434
2017-05-10,124760.27445179892
2017-05-11,124625.4355739937
2017-05-12,123995.11998498991
2017-05-15,124563.06001367758
2017-05-16,123977.51622226945
2017-05-17,122175.10365589279
2017-05-18,122424.75506672262
2017-05-19,123247.33565707544
2017-05-22,123781.06977406166
2017-05-23,123991.6312020444
2017-05-24,124183.14218484481
2017-05-25,124931.01567803598
2017-05-26,125149.48677525736
2017-05-30,124907.76266149027
2017-05-31,124916.37946955788
2017-06-01,126313.61075626189
2017-06-02,126633.70575365826
2017-06-05,126331.38992734338
2017-06-06,125872.48631906786
2017-06-07,126519.8561238538
2017-06-08,126458.30791848991
2017-06-09,127305.0525510356
2017-06-12,127689.95403639087
2017-06-13,128657.79490059854
2017-06-14,128156.29420247662
2017-06-15,127633.60404641209
2017-06-16,127687.55542243893
2017-06-19,129720.19066832818
2017-06-20,128674.9926597565
2017-06-21,128361.34324948666
2017-06-22,128341.79406639078
2017-06-23,128772.54651809066
2017-06-26,129204.96770197627
2017-06-27,128692.81937187038
2017-06-28,129975.34021885484
2017-06-29,129315.16655065348
2017-06-30,129557.50306370856
2017-07-03,129914.73394345767
2017-07-05,129084.76740590167
2017-07-06,128064.50579834783
2017-07-07,128488.73019720454
2017-07-10,128530.57269353767
2017-07-11,128695.35879403472
2017-07-12,129122.53994420763
2017-07-13,129886.27022467832
2017-07-14,130333.68202794816
2017-07-17,130877.94068215953
2017-07-18,130517.03639791027
2017-07-19,131390.4966209276
2017-07-20,131071.52879468587
2017-07-21,132328.63147695508
2017-07-24,132309.93973982317
2017-07-25,133418.45641114845
2017-07-26,133570.2836805035
2017-07-27,133840.16061051268
2017-07-28,134616.96012411884
2017-07-31,134109.00482063516
2017-08-01,134437.69662586256
2017-08-02,134062.43680434106
2017-08-03,133717.61059743518
2017-08-04,133505.9446842583
2017-08-07,134320.9412886118
2017-08-08,133420.2893772176
2017-08-09,133785.38836592616
2017-08-10,132135.26358201946
2017-08-11,132738.00217352287
2017-08-14,133954.35953644934
2017-08-15,133239.45703258106
2017-08-16,134034.08051913648
2017-08-17,132316.31742780822
2017-08-18,132132.81577926117
2017-08-21,132317.6726498329
2017-08-22,133836.0931666867
2017-08-23,132798.3206228201
2017-08-24,132395.19394946
2017-08-25,132628.282021105
2017-08-28,132543.28989539057
2017-08-29,132343.65921565238
2017-08-30,133325.20504198884
2017-08-31,134210.32069321637
2017-09-01,134569.77996413878
2017-09-05,134091.56228930637
2017-09-06,134834.55982009505
2017-09-07,135355.5760485098
2017-09-08,135549.24468292022
2017-09-11,136224.54465734502
2017-09-12,136858.97738615255
2017-09-13,136250.48273033302
2017-09-14,135554.8812682134
2017-09-15,136015.75549789946
2017-09-18,136479.6850873013
2017-09-19,135479.25380097172
2017-09-20,135524.4242536979
2017-09-21,135169.2928381563
2017-09-22,135845.28955692437
2017-09-25,135936.97525361716
2017-09-26,136129.52357735462
2017-09-27,136761.04172251277
2017-09-28,136499.04962905162
2017-09-29,136853.40287529226
2017-10-02,137562.94239968827
2017-10-03,137673.9130555171
2017-10-04,138093.80896476685
2017-10-05,138943.78544205538
2017-10-06,138731.5204226743
2017-10-09,137914.53268932775
2017-10-10,137968.5862201856
2017-10-11,137944.1206028354
2017-10-12,137410.53225791236
2017-10-13,137709.0998424397
2017-10-16,137207.15895910023
2017-10-17,137788.16341428697
2017-10-18,138167.05005383943
2017-10-19,138525.80479231197
2017-10-20,139338.98112268833
2017-10-23,138567.4118049373
2017-10-24,138638.9046879259
2017-10-25,137472.80060838282
2017-10-26,137319.57165963852
2017-10-27,137545.36024075787
2017-10-30,137071.81126669428
2017-10-31,138082.30787270263
2017-11-01,137930.17323861143
2017-11-02,136359.54206315783
2017-11-03,136844.98506331223
2017-11-06,137442.41323926466
2017-11-07,136167.9135793698
2017-11-08,136540.08721374423
2017-11-09,136315.19532046694
2017-11-10,136588.62930173535
2017-11-13,136531.02193732146
2017-11-14,136034.79506004503
2017-11-15,135656.94015968338
2017-11-16,137098.87560326236
