gap_bucket,n,sum_pnl_$,n_0-1d,pct_trades_0-1d,pct_pnl$_0-1d,win_%_0-1d,avg_pnl_%_0-1d,n_far,win_%_far,avg_pnl_%_far
2-3%,92,4763.0,4,4.3,12.7,100.0,2.31,71,87.3,0.66
3-5%,157,7191.0,40,25.5,31.4,82.5,0.75,92,80.4,0.27
5-10%,184,27624.0,91,49.5,54.9,74.7,2.43,63,84.1,2.87
10%+,75,34374.0,45,60.0,59.3,71.1,6.72,19,84.2,6.13
